agent_type,bar_type,rounds,attendance_mean,attendance_std,price_mean,price_std,profit_mean,profit_std,welfare_mean,welfare_std,distress_pct_mean,distress_pct_std
heuristic,passive,10,5.6,0.23619795444544078,10.0,0.0,53.31999999999999,2.2911201581207754,36.58391049147845,3.7092606159173673,0.0,0.0
heuristic,regression,10,5.6,0.23619795444544078,9.86821852386646,0.06038320206563418,52.50412878774425,2.359314483311192,36.58391049147845,3.7092606159173673,0.0,0.0
heuristic,q_learning,10,5.615,0.26212692787233727,3.660000000000001,1.4350499716221146,18.665499999999998,8.889883354275891,36.51369234579518,4.039680350413799,0.0,0.0
heuristic,gp,10,5.599999999999999,0.2973567766700112,7.76,0.6808044776895239,40.711999999999996,4.799857015414213,37.81793047556882,5.574567615485664,0.0,0.0
bayesian,passive,10,1.8949999999999996,0.3103054522308793,10.0,0.0,17.3815,3.0099628866395287,9.654343510518993,3.310988330611811,0.0,0.0
bayesian,regression,10,2.235,0.2906888370749727,9.241012302161169,0.04997624672111215,18.641331734900056,2.597556661547411,12.974257665337609,3.319861007515626,0.0,0.0
bayesian,q_learning,10,4.4,0.3986820392506448,3.72,0.9093664654148255,7.8199999999999985,1.0458891961036387,32.949748741818425,6.038069962757285,0.0,0.0
bayesian,gp,10,3.1,0.7615773105863908,6.696000000000001,1.120931943095847,13.573999999999998,3.4326442163133475,21.325059235637667,8.351436949465716,0.0,0.0
no_regret,passive,10,4.6949999999999985,0.48283701074727925,10.0,0.0,44.5415,4.683519004248612,37.98973342223145,5.5017722697016636,0.0,0.0
no_regret,regression,10,4.6899999999999995,0.4722844816198679,9.762777794652967,0.1024196185407382,43.35400982296984,4.867183472122704,37.968125562208066,5.278420146109173,0.0,0.0
no_regret,q_learning,10,5.455,0.3634266739913583,3.3600000000000003,1.0733126291998991,15.873500000000002,6.09070238365952,43.89178569109002,3.185261874185555,0.0,0.0
no_regret,gp,10,5.140000000000001,0.45814270357837783,8.024000000000001,0.7791385256199713,38.842,3.6473762740099263,41.888217186266054,5.0839758944822515,0.0,0.0
q_learning,passive,10,1.47,0.357034570049633,10.0,0.0,13.259,3.46323532948144,5.578141778928793,2.796171750760462,0.0,0.0
q_learning,regression,10,1.47,0.357034570049633,9.185689330350588,0.08795661098321576,12.05676926213616,3.302772133018078,5.578141778928793,2.796171750760462,0.0,0.0
q_learning,q_learning,10,1.975,0.7099851740483184,3.9199999999999995,1.2755184704350826,5.5175,2.8187620929837456,9.848182946254711,6.011145087640373,0.0,0.0
q_learning,gp,10,1.565,0.4380278770268299,7.847999999999999,1.0732812453308531,10.8845,4.124914640265138,6.735937450511747,4.074461751084098,0.0,0.0
