agent_type,condition,seed,attendance_mean,price_mean,profit_mean
bayesian,price_aware,0,4.52,2.2361731400966187,6.968023420289854
bayesian,price_aware,1,4.1466666666666665,2.4170696123202773,6.897938184613599
bayesian,price_aware,2,4.536666666666667,2.5257342151083617,8.03392687440544
bayesian,price_aware,3,3.1033333333333335,8.025854663680478,17.93946976893989
bayesian,price_aware,4,4.1866666666666665,2.2415466666666664,6.18176
bayesian,price_aware,5,2.763333333333333,8.505970084035631,17.345242614732662
bayesian,price_aware,6,2.7533333333333334,8.115806022592002,15.63316479306519
bayesian,price_aware,7,4.28,2.419982272381753,7.0540851032055825
bayesian,price_blind,0,4.52,2.6512223290195083,8.186491390941327
bayesian,price_blind,1,4.14,2.7603460667104893,7.9965002843542
bayesian,price_blind,2,4.42,2.822827562591036,8.84593970276298
bayesian,price_blind,3,4.51,2.8118824799590736,8.958189748969442
bayesian,price_blind,4,4.366666666666666,2.720071073635698,8.061109336007503
bayesian,price_blind,5,4.503333333333333,2.773870733103191,9.171575618515607
bayesian,price_blind,6,4.303333333333334,2.674198215279316,7.966001715743793
bayesian,price_blind,7,4.326666666666667,2.7123213928496015,8.166074539968301
q_learning,price_aware,0,5.38,2.479707629905058,9.53482330091261
q_learning,price_aware,1,3.796666666666667,3.22733841031285,7.368186264066414
q_learning,price_aware,2,5.706666666666667,2.583410235931041,10.636717834597029
q_learning,price_aware,3,5.15,2.5612781347022358,8.747143198322123
q_learning,price_aware,4,5.343333333333334,2.4652322989849544,9.043824251417675
q_learning,price_aware,5,5.753333333333333,2.5260965238528903,10.986683499413191
q_learning,price_aware,6,4.8966666666666665,3.094492031287392,9.17063210765045
q_learning,price_aware,7,2.473333333333333,5.965017378627081,7.51990389201177
q_learning,price_blind,0,4.456666666666667,2.679014641998091,7.730314742611163
q_learning,price_blind,1,4.21,2.6709109196563143,7.286397388930615
q_learning,price_blind,2,4.44,2.5888537871984365,7.30953281688439
q_learning,price_blind,3,4.59,2.693119317103384,7.919103531184796
q_learning,price_blind,4,5.113333333333333,2.6397081586279536,8.692122277866629
q_learning,price_blind,5,5.193333333333333,2.8714416156056743,10.691821193647511
q_learning,price_blind,6,4.136666666666667,2.573412698814212,6.844026521726487
q_learning,price_blind,7,4.516666666666667,2.704125382001216,7.851833666383312
