bar_type,round,mean_regret,std_regret
passive,50,0.45725573503256045,0.21527523980009497
passive,60,0.3822975255125049,0.1784398986356542
passive,70,0.3276835932964328,0.15294848454484647
passive,80,0.28672314413437866,0.13382992397674068
passive,90,0.2548650170083366,0.11895993242376947
passive,100,0.22937851530750294,0.10706393918139254
passive,110,0.20852592300682082,0.09733085380126594
passive,120,0.19114876275625245,0.0892199493178271
passive,130,0.17644501177500233,0.08235687629337887
passive,140,0.1638417966482164,0.07647424227242323
passive,150,0.15291901020500195,0.07137595945426169
passive,160,0.14336157206718933,0.06691496198837034
passive,170,0.1349285384161782,0.06297878775376031
passive,180,0.1274325085041683,0.059479966211884734
passive,190,0.12072553437236996,0.056349441674417126
passive,200,0.11468925765375147,0.05353196959069627
passive,210,0.10922786443214423,0.050982828181615494
passive,220,0.10426296150341041,0.04866542690063297
passive,230,0.09972978926413173,0.04654953877451849
passive,240,0.09557438137812622,0.04460997465891355
passive,250,0.09175140612300117,0.04282557567255701
passive,260,0.08822250588750116,0.041178438146689436
passive,270,0.08495500566944555,0.03965331080792316
passive,280,0.0819208983241082,0.03823712113621162
passive,290,0.0790960397612079,0.03691859971772156
passive,300,0.07645950510250098,0.03568797972713084
regression,50,0.5183478652474249,0.3626312189464344
regression,60,0.41398668652373866,0.2738291132462897
regression,70,0.36716201407453086,0.266649023981453
regression,80,0.3232297937318363,0.2353794806886712
regression,90,0.2938326368887221,0.21930181240008173
regression,100,0.2697570877355685,0.20765278822101202
regression,110,0.25006755136189246,0.19966196105511397
regression,120,0.24499764737132512,0.21427525621375854
regression,130,0.23375958981739267,0.21262653458537384
regression,140,0.22430803215669343,0.2100997171977595
regression,150,0.21587719128087646,0.21205331409969702
regression,160,0.19688430041952432,0.18679553854256148
regression,170,0.18580494145732626,0.17773896611448844
regression,180,0.17735835592963645,0.17461868235325942
regression,190,0.16752982650474757,0.16558270033941147
regression,200,0.15808710423603092,0.15829217411317975
regression,210,0.14593018321250947,0.13833249783056473
regression,220,0.14050118741534245,0.1327797930471979
regression,230,0.11939564198561639,0.0980997651583723
regression,240,0.09996987243540432,0.07529173966308975
regression,250,0.082771953311057,0.06711103547353214
regression,260,0.08915715014566628,0.08583899785848374
regression,270,0.08543608648178497,0.08121371503424453
regression,280,0.08358525411310364,0.08097494587338537
regression,290,0.08058654538216842,0.0779627837573613
regression,300,0.07762554844902769,0.07464376028749485
q_learning,50,0.9899774926760688,0.37311375461579743
q_learning,60,0.833071334027158,0.33358045622038834
q_learning,70,0.7196489209859717,0.2928686814558067
q_learning,80,0.6346082180696125,0.25314250277848893
q_learning,90,0.5770536193818593,0.25112273435700444
q_learning,100,0.5138016938208759,0.2316487673215597
q_learning,110,0.47014153977382556,0.21175141638499925
q_learning,120,0.43166066883379095,0.19931734445952803
q_learning,130,0.40605571038511284,0.18836659979261317
q_learning,140,0.38235483326271624,0.17747474418878934
q_learning,150,0.3609300747003095,0.16390635527755076
q_learning,160,0.33545081577436314,0.15822224645975624
q_learning,170,0.32908743675279084,0.14556538444338812
q_learning,180,0.33460929260581834,0.14109956552042444
q_learning,190,0.3368565632421137,0.13837061500597342
q_learning,200,0.3233547941680194,0.1272837926790372
q_learning,210,0.3242269547738108,0.1286661509968588
q_learning,220,0.3211566888207155,0.13053173275629273
q_learning,230,0.31883992031527103,0.12594016263561286
q_learning,240,0.31956496851351207,0.12877874627495184
q_learning,250,0.32138146395074396,0.1378111045746848
q_learning,260,0.31948067252389833,0.1333609344983125
q_learning,270,0.3161715436939049,0.1375430970880775
q_learning,280,0.3196893041559639,0.14515051408809815
q_learning,290,0.32993368633359155,0.1519395974583738
q_learning,300,0.32414727661900855,0.15192061047278804
gp,50,0.3411807273119843,0.2117490117529932
gp,60,0.2999606798189261,0.1853033406423968
gp,70,0.2630811063931887,0.16603417589097888
gp,80,0.23181089731112534,0.14769863467758193
gp,90,0.20605413094322253,0.1312876752689617
gp,100,0.18544871784890024,0.11815890774206554
gp,110,0.16858974349900024,0.10741718885642323
gp,120,0.15454059820741686,0.09846575645172129
gp,130,0.1426528598837694,0.09089146749389658
gp,140,0.13246336989207158,0.0843992198157611
gp,150,0.12363247856593347,0.07877260516137703
gp,160,0.11590544865556267,0.07384931733879097
gp,170,0.10908748108758838,0.06950523984827385
gp,180,0.10302706547161126,0.06564383763448085
gp,190,0.0976045883415264,0.06218889881161345
gp,200,0.09272435892445012,0.05907945387103277
gp,210,0.08830891326138106,0.05626614654384073
gp,220,0.08429487174950012,0.05370859442821162
gp,230,0.08062987732560879,0.05137343814872415
gp,240,0.07727029910370843,0.04923287822586064
gp,250,0.07417948713956009,0.04726356309682622
gp,260,0.0713264299418847,0.04544573374694829
gp,270,0.06868471031440748,0.043762558422987236
gp,280,0.06623168494603579,0.04219960990788055
gp,290,0.06394783374100008,0.04074445094553984
gp,300,0.061816239282966735,0.039386302580688516
