bar_type,seed,agent_id,uncorrected_regret,corrected_regret
passive,0,0,0.034674726958371996,0.034674726958371996
passive,0,1,0.06149767103556994,0.06149767103556994
passive,0,2,0.08772896038806105,0.08772896038806105
passive,0,3,0.10915990174092931,0.10915990174092931
passive,0,4,0.04950396927517622,0.04950396927517622
passive,0,5,0.06149767103556994,0.06149767103556994
passive,0,6,0.0807041350899241,0.0807041350899241
passive,0,7,0.06510037310845225,0.06510037310845225
passive,0,8,0.12878949205735638,0.12878949205735638
passive,0,9,0.15200973406167204,0.15200973406167204
passive,1,0,0.09783355771613113,0.09783355771613113
passive,1,1,0.10147664732238916,0.10147664732238916
passive,1,2,0.026963135391449906,0.026963135391449906
passive,1,3,0.08292861238843818,0.08292861238843818
passive,1,4,0.05610566831124024,0.05610566831124024
passive,1,5,0.04135720106118745,0.04135720106118745
passive,1,6,0.14207366519623585,0.14207366519623585
passive,1,7,0.03000251988800733,0.03000251988800733
passive,1,8,0.08772896038806105,0.08772896038806105
passive,1,9,0.07641466674825664,0.07641466674825664
passive,2,0,0.14035308922654613,0.14035308922654613
passive,2,1,0.027131663854083818,0.027131663854083818
passive,2,2,0.05160198970350949,0.05160198970350949
passive,2,3,0.12954967524469713,0.12954967524469713
passive,2,4,0.05009730805896044,0.05009730805896044
passive,2,5,0.08021423443215482,0.08021423443215482
passive,2,6,0.07620045648219335,0.07620045648219335
passive,2,7,0.11780020495782603,0.11780020495782603
passive,2,8,0.11796873342045996,0.11796873342045996
passive,2,9,0.07841288339571367,0.07841288339571367
passive,3,0,0.12110623763881624,0.12110623763881624
passive,3,1,0.04135720106118745,0.04135720106118745
passive,3,2,0.06621026563931032,0.06621026563931032
passive,3,3,0.061538058568945654,0.061538058568945654
passive,3,4,0.11125792216926257,0.11125792216926257
passive,3,5,0.09908364156124116,0.09908364156124116
passive,3,6,0.0582036887395735,0.0582036887395735
passive,3,7,0.012046139678763198,0.012046139678763198
passive,3,8,0.06291628334331388,0.06291628334331388
passive,3,9,0.06913355959160329,0.06913355959160329
passive,4,0,0.07106305155730266,0.07106305155730266
passive,4,1,0.14733752699130734,0.14733752699130734
passive,4,2,0.05336295320657493,0.05336295320657493
passive,4,3,0.07393390759122617,0.07393390759122617
passive,4,4,0.128998408053366,0.128998408053366
passive,4,5,0.07161431874863379,0.07161431874863379
passive,4,6,0.048382026359324384,0.048382026359324384
passive,4,7,0.09638131398995156,0.09638131398995156
passive,4,8,0.044750987138060125,0.044750987138060125
passive,4,9,0.0975032569058034,0.0975032569058034
passive,5,0,0.13297179846995177,0.13297179846995177
passive,5,1,0.033605221960889636,0.033605221960889636
passive,5,2,0.03000251988800733,0.03000251988800733
passive,5,3,0.05485558446613021,0.05485558446613021
passive,5,4,0.07753660966410848,0.07753660966410848
passive,5,5,0.07174245967789199,0.07174245967789199
passive,5,6,0.10507934939527147,0.10507934939527147
passive,5,7,0.03647607799481315,0.03647607799481315
passive,5,8,0.048353689210942435,0.048353689210942435
passive,5,9,0.07573525862766733,0.07573525862766733
passive,6,0,0.14018456076391222,0.14018456076391222
passive,6,1,0.040119167601071176,0.040119167601071176
passive,6,2,0.021727610744760355,0.021727610744760355
passive,6,3,0.08957069895787792,0.08957069895787792
passive,6,4,0.10075685166842412,0.10075685166842412
passive,6,5,0.06994110864145082,0.06994110864145082
passive,6,6,0.0582036887395735,0.0582036887395735
passive,6,7,0.05502411292876412,0.05502411292876412
passive,6,8,0.12882987959073208,0.12882987959073208
passive,6,9,0.09500308921558333,0.09500308921558333
passive,7,0,0.07991756504026272,0.07991756504026272
passive,7,1,0.07341566978507494,0.07341566978507494
passive,7,2,0.05794740688105711,0.05794740688105711
passive,7,3,0.13350208666109675,0.13350208666109675
passive,7,4,0.10389603994585779,0.10389603994585779
passive,7,5,0.08112726135199703,0.08112726135199703
passive,7,6,0.08945460841361348,0.08945460841361348
passive,7,7,0.08765325737717232,0.08765325737717232
passive,7,8,0.013847490715204351,0.013847490715204351
passive,7,9,0.05970837038412255,0.05970837038412255
passive,8,0,0.018519697785569018,0.018519697785569018
passive,8,1,0.029833991425373418,0.029833991425373418
passive,8,2,0.053054233429689054,0.053054233429689054
passive,8,3,0.06676153283064144,0.06676153283064144
passive,8,4,0.045342641862766965,0.045342641862766965
passive,8,5,0.12753940821224635,0.12753940821224635
passive,8,6,0.1352630501641622,0.1352630501641622
passive,8,7,0.029833991425373418,0.029833991425373418
passive,8,8,0.06977258017881692,0.06977258017881692
passive,8,9,0.10552886251966503,0.10552886251966503
passive,9,0,0.06758849041367855,0.06758849041367855
passive,9,1,0.12522717751784979,0.12522717751784979
passive,9,2,0.14954995390482767,0.14954995390482767
passive,9,3,0.010244788642322042,0.010244788642322042
passive,9,4,0.042990023634994684,0.042990023634994684
passive,9,5,0.08458977211062738,0.08458977211062738
passive,9,6,0.016718346749127862,0.016718346749127862
passive,9,7,0.05502411292876412,0.05502411292876412
passive,9,8,0.07573525862766732,0.07573525862766732
passive,9,9,0.11158124465045925,0.11158124465045925
passive,10,0,0.04494785274907599,0.04494785274907599
passive,10,1,0.11733500710330001,0.11733500710330001
passive,10,2,0.07406204852048437,0.07406204852048437
passive,10,3,0.03951546249137058,0.03951546249137058
passive,10,4,0.07962257970744799,0.07962257970744799
passive,10,5,0.06094640384423882,0.06094640384423882
passive,10,6,0.08541672969366447,0.08541672969366447
passive,10,7,0.08416664584855446,0.08416664584855446
passive,10,8,0.04131681352781173,0.04131681352781173
passive,10,9,0.09866051529916824,0.09866051529916824
passive,11,0,0.11338259568690039,0.11338259568690039
passive,11,1,0.012046139678763198,0.012046139678763198
passive,11,2,0.05794740688105711,0.05794740688105711
passive,11,3,0.07010963710408474,0.07010963710408474
passive,11,4,0.061538058568945654,0.061538058568945654
passive,11,5,0.09621278552731766,0.09621278552731766
passive,11,6,0.05669732303594708,0.05669732303594708
passive,11,7,0.08241773273048278,0.08241773273048278
passive,11,8,0.05970837038412255,0.05970837038412255
passive,11,9,0.12524815651803592,0.12524815651803592
passive,12,0,0.10645757416963969,0.10645757416963969
passive,12,1,0.07161431874863379,0.07161431874863379
