attendance,price,profit,welfare,distress_pct,trailing_mean_attendance,convergence_round_attendance,agent_type,bar_type,rounds,seed
5.0,10.0,47.50000000000001,41.29742211694922,0.0,4.5,,heuristic,passive,10,63
4.6,10.0,43.62,39.12994307443086,0.0,5.5,,heuristic,passive,10,64
4.9,10.0,46.53,41.512904052688015,0.0,5.0,,heuristic,passive,10,65
4.6,10.0,43.62,38.6004627396878,0.0,4.5,,heuristic,passive,10,66
5.3,10.0,50.410000000000004,46.45167343329789,0.0,6.0,,heuristic,passive,10,67
5.3,10.0,50.410000000000004,45.87078516933806,0.0,4.0,,heuristic,passive,10,68
4.8,10.0,45.56,37.655240278097224,0.0,4.0,,heuristic,passive,10,69
5.2,10.0,49.44,45.09831580076856,0.0,6.0,,heuristic,passive,10,70
5.3,10.0,50.41000000000001,42.99667897281302,0.0,3.5,,heuristic,passive,10,71
5.1,10.0,48.470000000000006,44.87639957288478,0.0,4.5,,heuristic,passive,10,72
4.6,10.0,43.62,35.59116032484478,0.0,2.5,,heuristic,passive,10,73
5.5,10.0,52.35,46.13386453888347,0.0,6.0,,heuristic,passive,10,74
5.0,10.0,47.5,42.104620335035364,0.0,5.0,,heuristic,passive,10,75
4.9,10.0,46.53,38.41821776494946,0.0,4.0,,heuristic,passive,10,76
5.5,10.0,52.35,49.18872382163066,0.0,5.5,,heuristic,passive,10,77
3.8,10.0,35.86,28.14776557742102,0.0,3.0,,heuristic,passive,10,78
5.3,10.0,50.410000000000004,47.356804883817134,0.0,5.0,,heuristic,passive,10,79
5.1,10.0,48.470000000000006,44.779434775763846,0.0,5.0,,heuristic,passive,10,80
4.0,10.0,37.80000000000001,29.12852501303855,0.0,3.0,,heuristic,passive,10,81
5.4,10.0,51.38000000000001,48.09201126650175,0.0,5.5,,heuristic,passive,10,82
5.3,10.0,50.41,47.35680488381713,0.0,6.0,,heuristic,passive,10,83
5.6,10.0,53.32000000000001,47.924620335035364,0.0,5.0,,heuristic,passive,10,84
4.7,10.0,44.59,38.919343764692506,0.0,4.5,,heuristic,passive,10,85
5.1,10.0,48.47,45.03607985316428,0.0,4.5,,heuristic,passive,10,86
4.6,10.0,43.620000000000005,38.74395284002506,0.0,5.0,,heuristic,passive,10,87
4.7,10.0,44.59,36.558527722968314,0.0,3.5,,heuristic,passive,10,88
5.1,10.0,48.47,45.41173096894045,0.0,5.5,,heuristic,passive,10,89
4.5,10.0,42.650000000000006,35.955983422233416,0.0,3.5,,heuristic,passive,10,90
4.5,10.0,42.65,36.85526381144007,0.0,6.0,,heuristic,passive,10,91
5.0,10.0,47.50000000000001,43.26639686295503,0.0,4.5,,heuristic,passive,10,92
4.6,10.0,43.620000000000005,38.64930664979808,0.0,3.5,,heuristic,passive,10,93
4.5,10.0,42.65,37.50375018455888,0.0,4.5,,heuristic,passive,10,94
