uncorrected_regret,corrected_regret,bar_type,seed,agent_id
0.034674726958371996,0.034674726958371996,passive,0,0
0.06149767103556994,0.06149767103556994,passive,0,1
0.08772896038806105,0.08772896038806105,passive,0,2
0.10915990174092931,0.10915990174092931,passive,0,3
0.04950396927517622,0.04950396927517622,passive,0,4
0.06149767103556994,0.06149767103556994,passive,0,5
0.0807041350899241,0.0807041350899241,passive,0,6
0.06510037310845225,0.06510037310845225,passive,0,7
0.12878949205735638,0.12878949205735638,passive,0,8
0.15200973406167204,0.15200973406167204,passive,0,9
0.09783355771613113,0.09783355771613113,passive,1,0
0.10147664732238916,0.10147664732238916,passive,1,1
0.026963135391449906,0.026963135391449906,passive,1,2
0.08292861238843818,0.08292861238843818,passive,1,3
0.05610566831124024,0.05610566831124024,passive,1,4
0.04135720106118745,0.04135720106118745,passive,1,5
0.14207366519623585,0.14207366519623585,passive,1,6
0.03000251988800733,0.03000251988800733,passive,1,7
0.08772896038806105,0.08772896038806105,passive,1,8
0.07641466674825664,0.07641466674825664,passive,1,9
0.14035308922654613,0.14035308922654613,passive,2,0
0.027131663854083818,0.027131663854083818,passive,2,1
0.05160198970350949,0.05160198970350949,passive,2,2
0.12954967524469713,0.12954967524469713,passive,2,3
0.05009730805896044,0.05009730805896044,passive,2,4
0.08021423443215482,0.08021423443215482,passive,2,5
0.07620045648219335,0.07620045648219335,passive,2,6
0.11780020495782603,0.11780020495782603,passive,2,7
0.11796873342045996,0.11796873342045996,passive,2,8
0.07841288339571367,0.07841288339571367,passive,2,9
0.12110623763881624,0.12110623763881624,passive,3,0
0.04135720106118745,0.04135720106118745,passive,3,1
0.06621026563931032,0.06621026563931032,passive,3,2
0.061538058568945654,0.061538058568945654,passive,3,3
0.11125792216926257,0.11125792216926257,passive,3,4
0.09908364156124116,0.09908364156124116,passive,3,5
0.0582036887395735,0.0582036887395735,passive,3,6
0.012046139678763198,0.012046139678763198,passive,3,7
0.06291628334331388,0.06291628334331388,passive,3,8
0.06913355959160329,0.06913355959160329,passive,3,9
0.07106305155730266,0.07106305155730266,passive,4,0
0.14733752699130734,0.14733752699130734,passive,4,1
0.05336295320657493,0.05336295320657493,passive,4,2
0.07393390759122617,0.07393390759122617,passive,4,3
0.128998408053366,0.128998408053366,passive,4,4
0.07161431874863379,0.07161431874863379,passive,4,5
0.048382026359324384,0.048382026359324384,passive,4,6
0.09638131398995156,0.09638131398995156,passive,4,7
0.044750987138060125,0.044750987138060125,passive,4,8
0.0975032569058034,0.0975032569058034,passive,4,9
0.13297179846995177,0.13297179846995177,passive,5,0
0.033605221960889636,0.033605221960889636,passive,5,1
0.03000251988800733,0.03000251988800733,passive,5,2
0.05485558446613021,0.05485558446613021,passive,5,3
0.07753660966410848,0.07753660966410848,passive,5,4
0.07174245967789199,0.07174245967789199,passive,5,5
0.10507934939527147,0.10507934939527147,passive,5,6
0.03647607799481315,0.03647607799481315,passive,5,7
0.048353689210942435,0.048353689210942435,passive,5,8
0.07573525862766733,0.07573525862766733,passive,5,9
0.14018456076391222,0.14018456076391222,passive,6,0
0.040119167601071176,0.040119167601071176,passive,6,1
0.021727610744760355,0.021727610744760355,passive,6,2
0.08957069895787792,0.08957069895787792,passive,6,3
0.10075685166842412,0.10075685166842412,passive,6,4
0.06994110864145082,0.06994110864145082,passive,6,5
0.0582036887395735,0.0582036887395735,passive,6,6
0.05502411292876412,0.05502411292876412,passive,6,7
0.12882987959073208,0.12882987959073208,passive,6,8
0.09500308921558333,0.09500308921558333,passive,6,9
0.07991756504026272,0.07991756504026272,passive,7,0
0.07341566978507494,0.07341566978507494,passive,7,1
0.05794740688105711,0.05794740688105711,passive,7,2
0.13350208666109675,0.13350208666109675,passive,7,3
0.10389603994585779,0.10389603994585779,passive,7,4
0.08112726135199703,0.08112726135199703,passive,7,5
0.08945460841361348,0.08945460841361348,passive,7,6
0.08765325737717232,0.08765325737717232,passive,7,7
0.013847490715204351,0.013847490715204351,passive,7,8
0.05970837038412255,0.05970837038412255,passive,7,9
0.020263032790493015,0.009471669193637714,regression,0,0
0.17730013064730657,0.16555066036043561,regression,0,1
0.05458558644828903,0.03839016974211015,regression,0,2
0.08096128892434905,0.059618100967363245,regression,0,3
0.21223499907093774,0.20037473250985594,regression,0,4
0.05812700246906388,0.029827713895698955,regression,0,5
-0.047413878755433625,-0.07633015102416692,regression,0,6
-0.17955838025199428,-0.17368852725488892,regression,0,7
-0.048831593074018825,-0.05110850829090235,regression,0,8
0.13884565597975723,0.10485202120105214,regression,0,9
0.09606190102665517,0.09606190102665517,regression,1,0
0.09964175464023554,0.09964175464023554,regression,1,1
0.02375112141415558,0.02375112141415558,regression,1,2
0.08189381185148442,0.08189381185148442,regression,1,3
0.05167754608732106,0.05167754608732106,regression,1,4
0.04032080850788499,0.04032080850788499,regression,1,5
0.13024101163893628,0.13024101163893628,regression,1,6
0.028786713547717113,0.028786713547717113,regression,1,7
0.06907222106344658,0.06907222106344658,regression,1,8
0.0741326415257713,0.0741326415257713,regression,1,9
0.15200701214900297,0.15200701214900297,regression,2,0
0.0420321238587139,0.0420321238587139,regression,2,1
0.06601788286441998,0.06601788286441998,regression,2,2
0.05398763930010536,0.05398763930010536,regression,2,3
0.04700578693302081,0.04700578693302081,regression,2,4
0.061212275926953455,0.061212275926953455,regression,2,5
0.08307976355629632,0.08307976355629632,regression,2,6
0.06123162807600431,0.06123162807600431,regression,2,7
0.08341364612793413,0.08341364612793413,regression,2,8
0.058881006156597915,0.058881006156597915,regression,2,9
0.12021413246952799,0.17738596179425756,regression,3,0
0.26229186158061774,0.38487398785719673,regression,3,1
0.06221174107290371,0.23397875052185643,regression,3,2
0.12768115731501428,0.23963876439829557,regression,3,3
0.1537392457136624,0.24566210704090896,regression,3,4
