agent_type,bar_type,seed,attendance_mean,price_mean,profit_mean,welfare_mean
heuristic,passive,55,5.833,10.0,55.5801,35.37166853282173
heuristic,passive,56,5.603,10.0,53.34910000000001,37.22017374564889
heuristic,passive,57,5.8,10.0,55.25999999999999,36.45590521053618
heuristic,passive,58,5.727,10.0,54.55190000000001,35.18940946355306
heuristic,passive,59,5.776,10.0,55.02720000000001,39.96948812398301
heuristic,passive,60,5.834,10.0,55.589800000000004,36.89000689033289
heuristic,passive,61,5.797,10.0,55.2309,32.487657919547466
heuristic,passive,62,5.604,10.0,53.3588,37.19392182410875
heuristic,passive,63,5.755,10.0,54.8235,34.41638740045893
heuristic,passive,64,5.748,10.0,54.75560000000001,34.400821606069
heuristic,passive,65,5.67,10.0,53.999,36.91117340326984
heuristic,passive,66,5.748,10.0,54.7556,40.85860280828099
heuristic,passive,67,5.669,10.0,53.9893,34.93105353090961
heuristic,passive,68,5.902,10.0,56.2494,27.661612553408187
heuristic,passive,69,5.748,10.0,54.7556,40.86080057488298
heuristic,passive,70,5.803,10.0,55.289100000000005,32.63796321239576
heuristic,passive,71,5.671,10.0,54.008700000000005,36.972751197425005
heuristic,passive,72,5.667,10.0,53.969899999999996,36.89316738982669
heuristic,passive,73,5.667,10.0,53.969899999999996,30.458354724795804
heuristic,passive,74,5.727,10.0,54.5519,35.18652520108432
heuristic,passive,75,5.724,10.0,54.522800000000004,34.86987423489266
heuristic,passive,76,5.702,10.0,54.30940000000001,36.31168851663174
heuristic,passive,77,5.503,10.0,52.37910000000001,32.22717730948157
heuristic,passive,78,5.333,10.0,50.7301,33.016018296446745
heuristic,passive,79,5.911,10.0,56.3367,35.06849100320522
heuristic,passive,80,5.769,10.0,54.959300000000006,33.773559123726436
heuristic,passive,81,5.772,10.0,54.98839999999999,39.758871814968224
heuristic,passive,82,5.598,10.0,53.3006,35.04038588423822
heuristic,passive,83,5.777,10.0,55.0369,32.49848362197945
heuristic,passive,84,5.797,10.0,55.23089999999999,35.388953415343614
heuristic,passive,85,5.63,10.0,53.611,34.48755991709466
heuristic,passive,86,5.728,10.0,54.561600000000006,35.2540646010473
heuristic,passive,87,5.75,10.0,54.775,40.901776346938
heuristic,passive,88,5.83,10.0,55.551,35.18427104773307
heuristic,passive,89,5.729,10.0,54.5713,34.84164211132958
heuristic,passive,90,5.625,10.0,53.5625,35.75553702221674
heuristic,passive,91,5.701,10.0,54.299699999999994,28.439478737214703
heuristic,passive,92,5.504,10.0,52.3888,32.26476384689016
heuristic,passive,93,5.894,10.0,56.171800000000005,27.84224720444699
heuristic,passive,94,5.83,10.0,55.551,37.23574557473562
heuristic,passive,95,5.669,10.0,53.98929999999999,30.46147395759236
heuristic,passive,96,5.701,10.0,54.299699999999994,37.44176185623347
heuristic,passive,97,5.869,10.0,55.929300000000005,36.60734830571385
heuristic,passive,98,5.631,10.0,53.6207,34.46791993920535
heuristic,passive,99,5.697,10.0,54.26089999999999,34.81529522020069
heuristic,regression,0,5.332,6.330225524069627,30.135448810559136,33.07224119156237
heuristic,regression,1,5.666,5.335279955760181,29.645793290522136,33.110824061090185
heuristic,regression,2,5.668,6.138723420221304,36.23290771842419,26.549397584054994
heuristic,regression,3,6.327,7.106864254037953,45.29091595701932,29.087834470505243
heuristic,regression,4,5.599,7.282191271802514,29.834272209873074,34.97569108684883
heuristic,regression,5,5.777,6.431924340980879,31.5751327685352,39.902848291984924
