agent_type,bar_type,rounds,metric,n_seeds,mean,std,coefficient_of_variation,normal_ci_lo,normal_ci_hi,bootstrap_ci_lo,bootstrap_ci_hi,flagged_high_dispersion
bayesian,gp,10,attendance,100,1.8869999999999998,0.5918051481132395,0.31362223005471096,1.7695730193077597,2.00442698069224,1.7719999999999998,2.003,False
bayesian,gp,10,price,100,7.284800000000001,1.095242678703001,0.15034629347449496,7.067480091081659,7.502119908918342,7.0656,7.499200000000001,False
bayesian,gp,10,profit,100,8.401499999999999,3.089112969671705,0.36768588581464084,7.788552968021193,9.014447031978804,7.793984999999999,9.008105000000002,False
bayesian,gp,10,welfare,100,10.911650851200777,5.421876275394119,0.496888724660528,9.835832969696654,11.987468732704901,9.866071539485732,11.979744367433298,False
bayesian,gp,100,attendance,100,2.5735999999999994,0.41381819069428905,0.16079351519050714,2.4914894931149565,2.6557105068850424,2.4929,2.6549025,False
bayesian,gp,100,price,100,6.57088,1.4175851516654014,0.21573748899164213,6.289600351174831,6.852159648825169,6.301432,6.852008000000001,False
bayesian,gp,100,profit,100,13.501199999999999,2.639611124557723,0.19550937135645152,12.977443886105647,14.024956113894351,12.976059000000003,14.009412999999995,False
bayesian,gp,100,welfare,100,15.293171483657288,4.363930796280192,0.2853515898218764,14.427272937504371,16.159070029810206,14.445901274158048,16.14968311602501,False
bayesian,gp,1000,attendance,100,2.7842700000000002,0.32187097782129465,0.1156033638337139,2.7204038149583294,2.848136185041671,2.7196299999999995,2.84482075,False
bayesian,gp,1000,price,100,6.67544,1.1904593310944722,0.17833421184138756,6.439227041506812,6.911652958493188,6.447933200000001,6.9176779999999995,False
bayesian,gp,1000,profit,100,15.709019000000001,2.0604033619851716,0.13116053663091065,15.30019027220434,16.117847727795663,15.303232924999998,16.11053665,False
bayesian,gp,1000,welfare,100,17.187701128359272,3.5073356787162098,0.20406077883965498,16.491769637498017,17.883632619220528,16.490269853101392,17.851500732237454,False
bayesian,passive,10,attendance,100,0.6779999999999999,0.4267755542874659,0.6294624694505397,0.593318471066012,0.7626815289339879,0.5960000000000001,0.7620000000000001,False
bayesian,passive,10,price,100,10.0,0.0,0.0,10.0,10.0,10.0,10.0,False
bayesian,passive,10,profit,100,5.576600000000001,4.139722876588419,0.7423381409081552,4.755189169340318,6.3980108306596835,4.781200000000001,6.391400000000001,False
bayesian,passive,10,welfare,100,1.2433028475422585,1.8811539553078642,1.5130295559336164,0.8700410908756884,1.6165646042088286,0.8891701857297424,1.622840832992952,True
bayesian,passive,100,attendance,100,1.5983,0.332432282160175,0.2079911669650097,1.5323382230483222,1.6642617769516779,1.5332000000000001,1.6621024999999996,False
bayesian,passive,100,price,100,10.0,0.0,0.0,10.0,10.0,10.0,10.0,False
bayesian,passive,100,profit,100,14.50351,3.2245931369536973,0.22233191392660792,13.863680763568725,15.143339236431276,13.87204,15.12239425,False
bayesian,passive,100,welfare,100,6.147250792216121,2.3681883885662303,0.3852434964203704,5.677350837701797,6.617150746730444,5.692392735938922,6.603638530378518,False
bayesian,passive,1000,attendance,100,1.90207,0.24089006902223126,0.1266462690764437,1.8542721841577265,1.9498678158422733,1.8542390000000002,1.9483202500000003,False
bayesian,passive,1000,price,100,10.0,0.0,0.0,10.0,10.0,10.0,10.0,False
bayesian,passive,1000,profit,100,17.450078999999995,2.3366336695156438,0.1339039020691909,16.986440186329943,17.913717813670047,16.986118299999998,17.898706425,False
bayesian,passive,1000,welfare,100,8.31263078324612,1.9951319971039043,0.24001210316294067,7.916753310315518,8.708508256176724,7.9227250331277475,8.695873834297297,False
bayesian,q_learning,10,attendance,100,3.605999999999999,0.5748640594685729,0.15941876302511732,3.4919344988344667,3.7200655011655313,3.4939749999999994,3.7190000000000003,False
bayesian,q_learning,10,price,100,3.3240000000000003,0.8426892977398327,0.25351663590247675,3.1567921610504173,3.4912078389495833,3.16,3.491999999999999,False
bayesian,q_learning,10,profit,100,6.6701999999999995,1.769257094564458,0.2652479827538092,6.319141008125067,7.021258991874932,6.3286,7.01621,False
bayesian,q_learning,10,welfare,100,27.18893043785207,6.417686899838146,0.23604043250276324,25.915522124188776,28.46233875151536,25.93204288210226,28.451320464962272,False
bayesian,q_learning,100,attendance,100,3.5377000000000005,0.3117297942873999,0.08811651476592132,3.47584604578604,3.599553954213961,3.4767,3.5984,False
bayesian,q_learning,100,price,100,3.3624,0.4620138613513755,0.1374059782748559,3.2707264264438707,3.4540735735561294,3.2764000000000006,3.4544,False
bayesian,q_learning,100,profit,100,6.8752900000000015,1.0660920165622565,0.1550613889104687,6.663754214878624,7.086825785121379,6.669858,7.08913225,False
bayesian,q_learning,100,welfare,100,26.54201983580607,3.614167736235876,0.13616777316096507,25.824890546994478,27.25914912461766,25.818510796015882,27.24618654851223,False
bayesian,q_learning,1000,attendance,100,4.0299000000000005,0.2397702393475213,0.059497813679625124,3.9823243826600723,4.077475617339929,3.9827395,4.0757815,False
bayesian,q_learning,1000,price,100,2.8167,0.4750773993293465,0.16866453627626177,2.722434337093512,2.910965662906488,2.7281994999999992,2.9114005,False
bayesian,q_learning,1000,profit,100,7.272810000000001,0.8156749594629896,0.11215403117405646,7.110962391844898,7.434657608155104,7.120355774999999,7.43800585,False
bayesian,q_learning,1000,welfare,100,31.618240242910375,2.542325749060223,0.08040693376761467,31.11378765813638,32.12269282768437,31.122762608175673,32.10692364353189,False
bayesian,regression,10,attendance,100,0.934,0.4385973971282511,0.46959036095101825,0.8469727609696445,1.0210272390303556,0.851,1.0199999999999998,False
bayesian,regression,10,price,100,8.95479913178705,0.27377105618558534,0.03057255133884289,8.900477014733335,9.009121248840765,8.900508198293021,9.004777663575902,False
bayesian,regression,10,profit,100,6.600703519470385,3.732078921139025,0.565406234370374,5.860178093472145,7.341228945468625,5.887865508715801,7.332595003841652,False
bayesian,regression,10,welfare,100,2.7236764437033463,2.516983275283976,0.924112436740712,2.22425235553555,3.2231005318711428,2.252358309524537,3.2175691673249203,False
bayesian,regression,100,attendance,100,3.731299999999999,0.7563010129718339,0.20269102269231476,3.58123347095593,3.8813665290440684,3.5735950000000005,3.8739025000000002,False
bayesian,regression,100,price,100,3.8852174402136366,2.3575789739747965,0.6068074722338218,3.417422623727186,4.353012256700087,3.4453470468648613,4.373159060259912,False
bayesian,regression,100,profit,100,8.53874639721504,3.5752085392448376,0.4187041484697229,7.829347458312427,9.248145336117652,7.860205142381014,9.2762416526173,False
bayesian,regression,100,welfare,100,28.560557977547614,8.32327870536586,0.29142563362764345,26.909038907551096,30.21207704754413,26.83990935829714,30.126790333544182,False
bayesian,regression,1000,attendance,100,4.4442900000000005,0.13196099018002605,0.029692254596353083,4.418106076633667,4.470473923366334,4.417809500000001,4.46920125,False
bayesian,regression,1000,price,100,2.3803539735941626,0.7430057159388389,0.31214085139486797,2.232925519925018,2.527782427263307,2.2463022402546313,2.538244280823046,False
bayesian,regression,1000,profit,100,7.331040714244234,1.612340157394746,0.21993332464543053,7.0111174470416175,7.650963981446851,7.038609094302732,7.671981182853179,False
bayesian,regression,1000,welfare,100,35.9383162472402,1.4084924139727968,0.03919194222353026,35.65884079484163,36.217791699638774,35.658289418382424,36.20309854002949,False
heuristic,gp,10,attendance,100,4.752999999999999,0.4100886822051144,0.0862799668009919,4.6716295085114865,4.834370491488512,4.672,4.833,False
heuristic,gp,10,price,100,7.9088,0.6596008587996932,0.08340087735177185,7.777920879468869,8.039679120531131,7.7808,8.039999999999997,False
heuristic,gp,10,profit,100,33.92170000000001,5.520159208471137,0.16273238689308422,32.82638065230958,35.017019347690436,32.833760000000005,35.0080025,False
heuristic,gp,10,welfare,100,38.556068912021885,5.789332448720524,0.15015359739943288,37.40733975370983,39.70479807033394,37.41762547244382,39.680807536203744,False
heuristic,gp,100,attendance,100,3.0345000000000004,0.4666350097487675,0.15377657266395367,2.9419094903452807,3.12709050965472,2.9418,3.1225024999999995,False
heuristic,gp,100,price,100,9.527519999999999,0.27091362371640065,0.028434852271776986,9.473764859540621,9.581275140459377,9.470400000000001,9.577599999999999,False
heuristic,gp,100,profit,100,26.612570000000005,4.610231143562185,0.17323509693209577,25.697800121421235,27.527339878578776,25.705676750000002,27.487841500000002,False
heuristic,gp,100,welfare,100,17.63213197043602,4.8362943060112995,0.27428868579933297,16.672506255951173,18.591757684920868,16.685926158568645,18.55966851999524,False
heuristic,gp,1000,attendance,100,2.38906,0.41332247835208663,0.17300631978773517,2.3070478531982084,2.471072146801792,2.3108185,2.47123075,False
heuristic,gp,1000,price,100,9.943472,0.032451007610696705,0.003263548950577495,9.93703301606028,9.94991098393972,9.936368000000002,9.949232,False
heuristic,gp,1000,profit,100,21.971994000000006,4.015530686988394,0.18275677150596314,21.175225594126225,22.768762405873787,21.212828625,22.765344874999997,False
heuristic,gp,1000,welfare,100,10.524337004283357,3.89751113391606,0.37033317465316734,9.750986238192052,11.297687770374662,9.783503056620217,11.294294321828222,False
heuristic,passive,10,attendance,100,4.813,0.36725985075937445,0.0763058073466392,4.740127677848615,4.885872322151385,4.740975,4.884,False
heuristic,passive,10,price,100,10.0,0.0,0.0,10.0,10.0,10.0,10.0,False
heuristic,passive,10,profit,100,45.68610000000002,3.562420552365932,0.07797602667695275,44.97923847513159,46.39296152486845,44.98745749999999,46.37480000000001,False
heuristic,passive,10,welfare,100,39.562720505773925,5.023290448908599,0.1269702989251076,38.565990699627264,40.559450311920585,38.56629235378467,40.52932124337755,False
heuristic,passive,100,attendance,100,3.0662000000000007,0.36104164677647743,0.11774889008429892,2.9945615044237446,3.137838495576257,2.9949975000000006,3.1355,False
heuristic,passive,100,price,100,10.0,0.0,0.0,10.0,10.0,10.0,10.0,False
heuristic,passive,100,profit,100,28.74214000000001,3.5021039737318302,0.12184562366378526,28.047246592910327,29.437033407089693,28.05147575,29.41435,False
heuristic,passive,100,welfare,100,17.838442759155797,3.7302110863650895,0.20911080281660313,17.098287952099678,18.578597566211915,17.10460191315486,18.559346742795565,False
heuristic,passive,1000,attendance,100,2.4145999999999996,0.3752488736448347,0.1554082968793319,2.3401424823850205,2.4890575176149787,2.343609,2.4887602499999995,False
heuristic,passive,1000,price,100,10.0,0.0,0.0,10.0,10.0,10.0,10.0,False
heuristic,passive,1000,profit,100,22.421620000000004,3.639914074354901,0.16233947744877045,21.699382079134708,23.1438579208653,21.7330073,23.140974425000003,False
heuristic,passive,1000,welfare,100,10.723163617785788,3.6394110450612858,0.3393971382684901,10.001025508845645,11.445301726725932,10.031489124443853,11.441793924089595,False
heuristic,q_learning,10,attendance,100,4.774,0.37889259158710925,0.07936585496169025,4.698819489694235,4.849180510305765,4.699000000000001,4.846,False
heuristic,q_learning,10,price,100,3.7799999999999994,1.1903653628066035,0.31491147164195865,3.5438056868537817,4.016194313146217,3.5460000000000003,4.013999999999999,False
heuristic,q_learning,10,profit,100,15.547799999999997,6.218667170201134,0.3999708749920333,14.313881518461294,16.7817184815387,14.319965,16.778575000000004,False
heuristic,q_learning,10,welfare,100,38.70896743183267,5.238970561626183,0.13534255520641628,37.66944201210858,39.748492851556755,37.68781221057812,39.71554833546557,False
heuristic,q_learning,100,attendance,100,3.0820000000000003,0.4508174393658298,0.1462743151738578,2.992548039473954,3.1714519605260465,2.991697500000001,3.1670024999999997,False
heuristic,q_learning,100,price,100,6.442399999999999,1.8308496233809983,0.28418751139032017,6.079119714148181,6.8056802858518175,6.07299,6.792404999999999,False
heuristic,q_learning,100,profit,100,17.4398,6.1594805861297335,0.3531852765587755,16.217625420803397,18.661974579196606,16.219603999999993,18.6279385,False
heuristic,q_learning,100,welfare,100,18.09903152827225,4.6973469281637765,0.25953581664444947,17.166975988037755,19.031087068506743,17.169854091092862,18.995050896316517,False
heuristic,q_learning,1000,attendance,100,2.43105,0.42601634565785945,0.17523964774803458,2.3465191145292774,2.5155808854707224,2.3491262500000003,2.5158004999999997,False
heuristic,q_learning,1000,price,100,6.624700000000001,2.1667143934137383,0.32706603973217474,6.194776857134219,7.054623142865783,6.2001375,7.050627000000001,False
heuristic,q_learning,1000,profit,100,14.536525000000001,5.880166847257901,0.4045098018445193,13.369772326351443,15.703277673648559,13.39526025,15.6825673,False
heuristic,q_learning,1000,welfare,100,10.931274579128182,4.028683052332563,0.36854650600624367,10.131896458627464,11.7306526996289,10.164842676458422,11.737679687188754,False
heuristic,regression,10,attendance,100,4.813,0.36725985075937445,0.0763058073466392,4.740127677848615,4.885872322151385,4.740975,4.884,False
heuristic,regression,10,price,100,9.832312188675504,0.08154539109575991,0.00829361288890734,9.816131813941908,9.8484925634091,9.816293671162123,9.84759138179403,False
heuristic,regression,10,profit,100,44.91391027347464,3.6854417329820612,0.08205568632394535,44.18263867740794,45.64518186954135,44.18915077318654,45.62669842569797,False
heuristic,regression,10,welfare,100,39.562720505773925,5.023290448908599,0.1269702989251076,38.565990699627264,40.559450311920585,38.56629235378467,40.52932124337755,False
heuristic,regression,100,attendance,100,3.0662000000000007,0.36104164677647743,0.11774889008429892,2.9945615044237446,3.137838495576257,2.9949975000000006,3.1355,False
heuristic,regression,100,price,100,8.844533045398121,1.665008222647018,0.18825281268108718,8.514159291407422,9.17490679938882,8.49129009657453,9.154491968390618,False
heuristic,regression,100,profit,100,25.589327536309753,5.723636158834399,0.22367278509811933,24.453633947202533,26.725021125416973,24.414012348280547,26.678185895687598,False
heuristic,regression,100,welfare,100,17.838442759155797,3.7302110863650895,0.20911080281660313,17.098287952099678,18.578597566211915,17.10460191315486,18.559346742795565,False
heuristic,regression,1000,attendance,100,2.4145999999999996,0.3752488736448347,0.1554082968793319,2.3401424823850205,2.4890575176149787,2.343609,2.4887602499999995,False
heuristic,regression,1000,price,100,3.6673884091805946,0.6360472014897028,0.17343328017765508,3.5411828452600975,3.7935939731010917,3.5439152783502723,3.793825412169542,False
heuristic,regression,1000,profit,100,7.719050068426112,2.0586200095892986,0.26669343913311916,7.310575196435904,8.12752494041632,7.3181447991889605,8.121810638144222,False
heuristic,regression,1000,welfare,100,10.723163617785788,3.6394110450612858,0.3393971382684901,10.001025508845645,11.445301726725932,10.031489124443853,11.441793924089595,False
no_regret,gp,10,attendance,100,5.121,0.4956976514127958,0.09679704186932157,5.022642831720516,5.219357168279485,5.02,5.2170000000000005,False
no_regret,gp,10,price,100,8.0224,0.6514213209388662,0.08120030426541512,7.893143877236828,8.151656122763171,7.8991999999999996,8.15044,False
no_regret,gp,10,profit,100,38.688100000000006,4.3668953664375945,0.11287438169456743,37.82161321881104,39.55458678118897,37.835989999999995,39.547207500000006,False
no_regret,gp,10,welfare,100,41.88204146700531,5.282199085243391,0.1261208599252429,40.833938570345886,42.93014436366473,40.811016240746405,42.907094616066736,False
no_regret,gp,100,attendance,100,1.4695000000000003,0.4023927801227919,0.27382972447961335,1.3896565424484373,1.5493434575515632,1.3909975000000003,1.5490049999999997,False
