agent_type,bar_type,condition,seed,attendance_mean,price_mean,profit_mean
bayesian,regression,public_feedback,1,5.036666666666667,2.643016370224102,9.708241450126774
bayesian,regression,public_feedback,2,4.986666666666666,3.0614714974236676,11.225147683799348
bayesian,regression,public_feedback,3,5.046666666666667,2.859278126495517,10.30822815394832
bayesian,regression,public_feedback,4,4.93,2.765112965370651,9.908154260387795
bayesian,regression,public_feedback,5,4.97,2.8933929848184476,10.447627833793115
bayesian,regression,public_feedback,6,3.2266666666666666,8.810813614185157,23.87136405574968
bayesian,regression,public_feedback,7,4.87,3.2325205064853524,11.004932507409778
bayesian,regression,corrected_subset_observability,0,4.52,2.2361731400966187,6.968023420289854
bayesian,regression,corrected_subset_observability,1,4.1466666666666665,2.4170696123202773,6.897938184613599
bayesian,regression,corrected_subset_observability,2,4.536666666666667,2.5257342151083617,8.03392687440544
bayesian,regression,corrected_subset_observability,3,3.1033333333333335,8.025854663680478,17.93946976893989
bayesian,regression,corrected_subset_observability,4,4.1866666666666665,2.2415466666666664,6.18176
bayesian,regression,corrected_subset_observability,5,2.763333333333333,8.505970084035631,17.345242614732662
bayesian,regression,corrected_subset_observability,6,2.7533333333333334,8.115806022592002,15.63316479306519
bayesian,regression,corrected_subset_observability,7,4.28,2.419982272381753,7.0540851032055825
bayesian,q_learning,public_feedback,0,4.943333333333333,2.52,7.990333333333333
bayesian,q_learning,public_feedback,1,4.886666666666667,2.86,8.360666666666667
bayesian,q_learning,public_feedback,2,4.596666666666667,3.82,10.361
bayesian,q_learning,public_feedback,3,4.766666666666667,3.2733333333333334,9.943333333333333
bayesian,q_learning,public_feedback,4,4.823333333333333,2.9066666666666667,8.453000000000001
bayesian,q_learning,public_feedback,5,4.746666666666667,3.1333333333333333,9.536000000000001
bayesian,q_learning,public_feedback,6,4.693333333333333,3.36,8.945333333333334
bayesian,q_learning,public_feedback,7,4.766666666666667,2.8733333333333335,8.616666666666667
bayesian,q_learning,corrected_subset_observability,0,4.01,2.5,6.423666666666667
bayesian,q_learning,corrected_subset_observability,1,3.84,3.026666666666667,6.934666666666667
bayesian,q_learning,corrected_subset_observability,2,4.333333333333333,2.5533333333333332,7.1866666666666665
bayesian,q_learning,corrected_subset_observability,3,4.176666666666667,2.526666666666667,6.507
bayesian,q_learning,corrected_subset_observability,4,3.98,2.9466666666666668,7.245999999999999
bayesian,q_learning,corrected_subset_observability,5,3.703333333333333,3.473333333333333,7.422333333333333
bayesian,q_learning,corrected_subset_observability,6,4.176666666666667,2.66,6.693666666666666
bayesian,q_learning,corrected_subset_observability,7,3.5766666666666667,3.72,8.307
bayesian,gp,public_feedback,0,3.236666666666667,7.093333333333332,20.44366666666667
bayesian,gp,public_feedback,1,4.206666666666667,4.880000000000001,15.991333333333332
bayesian,gp,public_feedback,2,2.6233333333333335,9.909333333333334,24.110333333333333
bayesian,gp,public_feedback,3,4.003333333333333,5.824000000000001,19.683000000000003
bayesian,gp,public_feedback,4,3.1466666666666665,7.258666666666665,20.381333333333334
bayesian,gp,public_feedback,5,3.6633333333333336,6.5920000000000005,20.139666666666667
bayesian,gp,public_feedback,6,3.74,5.754666666666668,18.168666666666667
bayesian,gp,public_feedback,7,3.6766666666666667,5.488,17.202333333333335
bayesian,gp,corrected_subset_observability,0,3.0,5.797333333333334,14.292000000000002
bayesian,gp,corrected_subset_observability,1,2.84,5.882666666666667,13.950666666666669
bayesian,gp,corrected_subset_observability,2,2.64,6.037333333333334,13.253333333333334
bayesian,gp,corrected_subset_observability,3,2.316666666666667,9.930666666666665,21.32233333333333
bayesian,gp,corrected_subset_observability,4,3.04,5.050666666666667,11.965333333333334
bayesian,gp,corrected_subset_observability,5,2.79,6.410666666666667,14.948333333333334
bayesian,gp,corrected_subset_observability,6,2.776666666666667,7.125333333333331,17.464333333333332
bayesian,gp,corrected_subset_observability,7,2.55,6.165333333333332,13.393666666666668
