agent_type,condition,seed,attendance_mean,price_mean,profit_mean
bayesian,price_aware,0,4.52,2.2361731400966187,6.968023420289854
bayesian,price_blind,0,4.52,2.6512223290195083,8.186491390941327
bayesian,price_aware,1,4.1466666666666665,2.4170696123202773,6.897938184613598
bayesian,price_blind,1,4.14,2.7603460667104893,7.996500284354197
bayesian,price_aware,2,4.536666666666667,2.5257342151083617,8.03392687440544
bayesian,price_blind,2,4.42,2.822827562591036,8.84593970276298
bayesian,price_aware,3,3.1033333333333335,8.02585466368048,17.9394697689399
bayesian,price_blind,3,4.51,2.8118824799590736,8.958189748969444
bayesian,price_aware,4,4.1866666666666665,2.2415466666666664,6.18176
bayesian,price_blind,4,4.366666666666666,2.720071073635698,8.061109336007503
bayesian,price_aware,5,2.763333333333333,8.505970084035631,17.345242614732662
bayesian,price_blind,5,4.503333333333333,2.773870733103191,9.171575618515607
bayesian,price_aware,6,2.7533333333333334,8.115806022592004,15.633164793065195
bayesian,price_blind,6,4.303333333333334,2.674198215279316,7.966001715743793
bayesian,price_aware,7,4.28,2.419982272381753,7.0540851032055825
bayesian,price_blind,7,4.326666666666667,2.7123213928496015,8.166074539968301
bayesian,price_aware,8,4.296666666666667,2.3034225884841635,6.517526412920174
bayesian,price_blind,8,4.16,2.72931726310883,7.6722526092614665
bayesian,price_aware,9,4.073333333333333,2.32808769655276,6.448952470510383
bayesian,price_blind,9,4.333333333333333,2.7450300808931902,8.386000525610907
bayesian,price_aware,10,3.9833333333333334,2.2928104198489185,6.016874434762608
bayesian,price_blind,10,4.3,2.679294263453343,7.82294084898024
bayesian,price_aware,11,4.38,2.5394751797139317,7.423834728894867
bayesian,price_blind,11,4.3,2.7777585982510904,8.355390027503336
bayesian,price_aware,12,4.363333333333333,2.267874817282501,6.844979451367911
bayesian,price_blind,12,4.3133333333333335,2.7192196681858256,8.129660566480949
bayesian,price_aware,13,4.31,2.233076680428984,6.545152243760309
bayesian,price_blind,13,4.346666666666667,2.8641334572755324,8.856899672549535
bayesian,price_aware,14,4.39,2.248063592516863,6.647871081009346
bayesian,price_blind,14,4.163333333333333,2.637041997935235,7.314887147126831
bayesian,price_aware,15,4.193333333333333,2.349304794825573,6.631566928381198
bayesian,price_blind,15,4.193333333333333,2.709940345059108,7.797636381934707
bayesian,price_aware,16,4.413333333333333,2.2458666666666667,6.645466666666667
bayesian,price_blind,16,4.29,2.690228347436026,8.069566343681029
bayesian,price_aware,17,4.62,2.4175616762515997,7.887889303619228
bayesian,price_blind,17,4.616666666666666,2.844623636642724,9.441623557212202
