agent_type,bar_type,rounds,attendance_mean,attendance_std,price_mean,price_std,profit_mean,profit_std,welfare_mean,welfare_std,distress_pct_mean,distress_pct_std
heuristic,passive,100,5.717499999999999,0.18478650554512605,10.0,0.0,54.45975,1.7924291037877247,34.43531637814431,4.424917915712488,0.0,0.0
heuristic,regression,100,5.717499999999999,0.18478650554512605,9.319695074656716,0.17970877724614917,50.7803540086945,2.255603239557061,34.43531637814431,4.424917915712488,0.0,0.0
heuristic,q_learning,100,5.706999999999999,0.18290348331982723,5.974,0.8754211016780197,31.445900000000005,5.3324863253951555,34.03908844885048,4.6837322200780775,0.0,0.0
heuristic,gp,100,5.7215,0.17354735437489768,9.704,0.3505232179411076,52.853750000000005,3.1316911670516747,34.70487449090656,4.143037296064736,0.0,0.0
bayesian,passive,100,2.3659999999999997,0.22132139050425484,10.0,0.0,21.9502,2.1468174878912714,12.719677200634028,2.3139747026814064,0.0,0.0
bayesian,regression,100,4.5415,0.08060788782090353,5.1417196410403925,0.21464335645107988,18.617027623544807,1.0694337675393293,36.66996072958788,0.8521502169745716,0.0,0.0
bayesian,q_learning,100,4.7170000000000005,0.1261619677448919,3.188,0.365478777553643,8.2729,0.6751674178344687,37.97199746634191,1.688708499387715,0.0,0.0
bayesian,gp,100,3.6369999999999996,0.5807264053706676,6.037599999999999,1.7412612005156056,18.098899999999997,3.1353688089953713,26.417435347879188,6.596398938064858,0.0,0.0
no_regret,passive,100,0.95,0.18609561775433733,10.0,0.0,8.215,1.805127492217072,5.926457124853784,1.7245346783760203,0.0,0.0
no_regret,regression,100,2.7695,2.194388717184187,5.9955315076159765,1.4739125478263126,20.254983155325622,15.118263275040448,19.478218717611977,16.299195697023976,0.0,0.0
no_regret,q_learning,100,7.8875,1.1369575051078438,5.0520000000000005,1.2814531225382995,35.964749999999995,8.16965746801767,46.82569023660479,3.6689262550107182,0.0,0.0
no_regret,gp,100,1.6295000000000002,0.5684926977265592,9.4984,0.1894763976413894,13.61975,4.886033036006548,11.699153451861006,4.829257701054676,0.0,0.0
q_learning,passive,100,1.204,0.12500105262714684,10.0,0.0,10.678799999999999,1.2125102104833252,3.97276306124832,0.7863989563789402,0.0,0.0
q_learning,regression,100,2.7960000000000003,0.22300342220645286,3.8342548716686613,0.12161373580235307,6.5545194743798145,0.6787936612615819,18.645291453219833,2.287618075307399,0.0,0.0
q_learning,q_learning,100,2.7545,0.7962905777481775,5.7780000000000005,1.1367525305841524,9.806650000000001,2.4787114282902802,17.199464097024865,6.865529992747923,0.0,0.0
q_learning,gp,100,1.4585,0.498463692390508,9.2528,1.0199538482850983,11.49785,2.3850242473665366,6.266799175977653,4.585881136166083,0.0,0.0
